podcast_id,programmatic_consistency_passed,programmatic_consistency_reason,last_episode_date,days_since_last_episode,average_frequency_days,llm_match_score,llm_match_explanation,composite_score,quality_tier,final_explanation,metric_scores,error
948da7ba8a3b49cd99eee7c47d192319,True,Recent (Last ep: 2 days ago). | Frequent (Avg: 4.0 days),2025-05-05T03:00:00,2,3.996822033898305,20.0,"The podcast focuses on online business, marketing, and sales strategies for course creators and coaches, which doesn't align well with the guest's expertise in AI solutions for large enterprises. The target audience is also different, as the podcast caters to online business owners rather than technology leaders in Fortune 500 companies. Therefore, the podcast is not a good fit for the guest's profile and talking points related to AI implementation in large organizations, AI governance, and data strategies for AI success in enterprise environments like FSI and Automotive industries.",52.0,C,"Overall Tier: C (Score: 52/100). | Programmatic Consistency: Passed - Recent (Last ep: 2 days ago). | Frequent (Avg: 4.0 days) | LLM Content Match: Score 20/100 - The podcast focuses on online business, marketing, and sales strategies for course creators and coaches, which doesn't align well with the guest's expertise in AI solutions for large enterprises. The target audience is also different, as the podcast caters to online business owners rather than technology leaders in Fortune 500 companies. Therefore, the podcast is not a good fit for the guest's profile and talking points related to AI implementation in large organizations, AI governance, and data strategies for AI success in enterprise environments like FSI and Automotive industries.","{""recency_score"": 1.0, ""frequency_score"": 1.0, ""llm_match_score"": 20.0}",
ad8fe5a7aab14dd5acbde406f11772ba,True,Recent (Last ep: N/A days ago). | Frequent (Avg: 14.9 days),2025-05-07T09:02:00,0,14.88679245283019,20.0,"The Deal Board focuses on buying and selling businesses, which is not related to the guest's expertise in AI implementation within large enterprises. The podcast's audience is likely interested in M&A topics, not AI strategies and applications in Fortune 500 companies. Therefore, there is a low content alignment between the podcast and the guest's profile and talking points, resulting in a low match score. ",52.0,C,"Overall Tier: C (Score: 52/100). | Programmatic Consistency: Passed - Recent (Last ep: N/A days ago). | Frequent (Avg: 14.9 days) | LLM Content Match: Score 20/100 - The Deal Board focuses on buying and selling businesses, which is not related to the guest's expertise in AI implementation within large enterprises. The podcast's audience is likely interested in M&A topics, not AI strategies and applications in Fortune 500 companies. Therefore, there is a low content alignment between the podcast and the guest's profile and talking points, resulting in a low match score. ","{""recency_score"": 1.0, ""frequency_score"": 1.0, ""llm_match_score"": 20.0}",
fcaa3aec311546a4b09dfb8ce1fb8c91,True,Recent (Last ep: N/A days ago). | Frequent (Avg: 8.9 days),2025-05-07T12:00:00,0,8.939632545931758,85.0,"The podcast's focus on AI and automation for small businesses and marketers aligns well with the guest's expertise in helping Fortune 500 companies leverage AI responsibly. The talking points, particularly those related to AI implementation, governance, and customer-centric AI, are highly relevant to the podcast's audience. The podcast's description indicates an interest in practical AI strategies, making it a suitable platform for the guest's insights on AI in large enterprises, even though the podcast is geared towards smaller businesses; the insights are still relevant and applicable to a broader audience, including those in larger organizations, especially regarding AI governance and implementation strategies.",91.0,A,"Overall Tier: A (Score: 91/100). | Programmatic Consistency: Passed - Recent (Last ep: N/A days ago). | Frequent (Avg: 8.9 days) | LLM Content Match: Score 85/100 - The podcast's focus on AI and automation for small businesses and marketers aligns well with the guest's expertise in helping Fortune 500 companies leverage AI responsibly. The talking points, particularly those related to AI implementation, governance, and customer-centric AI, are highly relevant to the podcast's audience. The podcast's description indicates an interest in practical AI strategies, making it a suitable platform for the guest's insights on AI in large enterprises, even though the podcast is geared towards smaller businesses; the insights are still relevant and applicable to a broader audience, including those in larger organizations, especially regarding AI governance and implementation strategies.","{""recency_score"": 1.0, ""frequency_score"": 1.0, ""llm_match_score"": 85.0}",
27a163c3bbe64ff89036c1a328fc5c7e,True,Recent (Last ep: N/A days ago). | Frequent (Avg: 5.0 days),2025-05-07T03:30:00,0,5.0474777448071215,20.0,"The podcast focuses on mindset and general entrepreneurial success, which doesn't align well with the guest's AI and technology focus. The podcast's emphasis on 'magic over metrics' contrasts with the guest's focus on data, compliance, and practical AI implementation in large enterprises. The ideal podcast description targets AI usage in large enterprises, a topic not reflected in the provided podcast description or title. ",52.0,C,"Overall Tier: C (Score: 52/100). | Programmatic Consistency: Passed - Recent (Last ep: N/A days ago). | Frequent (Avg: 5.0 days) | LLM Content Match: Score 20/100 - The podcast focuses on mindset and general entrepreneurial success, which doesn't align well with the guest's AI and technology focus. The podcast's emphasis on 'magic over metrics' contrasts with the guest's focus on data, compliance, and practical AI implementation in large enterprises. The ideal podcast description targets AI usage in large enterprises, a topic not reflected in the provided podcast description or title. ","{""recency_score"": 1.0, ""frequency_score"": 1.0, ""llm_match_score"": 20.0}",
8eef79df87664e7796c7bbcd9c954858,True,Recent (Last ep: 1 days ago). | Frequent (Avg: 8.9 days),2025-05-06T04:00:00,1,8.882352941176471,60.0,"The podcast focuses on small business entrepreneurship, which is somewhat relevant to the guest's entrepreneurial background. While the guest's AI expertise isn't a direct fit, the podcast's focus on building a thriving business could provide a platform to discuss AI's role in small business growth, albeit tangentially. The ideal podcast description is AI usage in large scale enterprises, which is not the focus of this podcast, lowering the score further. ",76.0,B,"Overall Tier: B (Score: 76/100). | Programmatic Consistency: Passed - Recent (Last ep: 1 days ago). | Frequent (Avg: 8.9 days) | LLM Content Match: Score 60/100 - The podcast focuses on small business entrepreneurship, which is somewhat relevant to the guest's entrepreneurial background. While the guest's AI expertise isn't a direct fit, the podcast's focus on building a thriving business could provide a platform to discuss AI's role in small business growth, albeit tangentially. The ideal podcast description is AI usage in large scale enterprises, which is not the focus of this podcast, lowering the score further. ","{""recency_score"": 1.0, ""frequency_score"": 1.0, ""llm_match_score"": 60.0}",
d8de1801519e4f7bb260a9e4b71c0807,True,Recent (Last ep: 3 days ago). | Frequent (Avg: 7.9 days),2025-05-04T19:00:00,3,7.886792452830188,5.0,"The podcast focuses on economics of everyday things, which doesn't align with the guest's AI expertise. The podcast's content is unlikely to be relevant to the guest's talking points about AI implementation in large enterprises, and the audience is unlikely to be interested in AI-related topics. Therefore, the match is very low.",43.0,D,"Overall Tier: D (Score: 43/100). | Programmatic Consistency: Passed - Recent (Last ep: 3 days ago). | Frequent (Avg: 7.9 days) | LLM Content Match: Score 5/100 - The podcast focuses on economics of everyday things, which doesn't align with the guest's AI expertise. The podcast's content is unlikely to be relevant to the guest's talking points about AI implementation in large enterprises, and the audience is unlikely to be interested in AI-related topics. Therefore, the match is very low.","{""recency_score"": 1.0, ""frequency_score"": 1.0, ""llm_match_score"": 5.0}",
73625f024de447caa1897d4344e3d807,True,Recent (Last ep: 2 days ago). | Frequent (Avg: 5.7 days),2025-05-05T02:00:00,2,5.7443478260869565,60.0,"The podcast focuses on general small business topics, which has some overlap with the guest's AI solutions for businesses. However, the podcast's broad scope and lack of specific AI focus make it a moderate match for the guest's expertise in AI implementation for large enterprises. The guest's ideal podcast description targets AI usage in large scale enterprises, which is not the primary focus of this podcast.",76.0,B,"Overall Tier: B (Score: 76/100). | Programmatic Consistency: Passed - Recent (Last ep: 2 days ago). | Frequent (Avg: 5.7 days) | LLM Content Match: Score 60/100 - The podcast focuses on general small business topics, which has some overlap with the guest's AI solutions for businesses. However, the podcast's broad scope and lack of specific AI focus make it a moderate match for the guest's expertise in AI implementation for large enterprises. The guest's ideal podcast description targets AI usage in large scale enterprises, which is not the primary focus of this podcast.","{""recency_score"": 1.0, ""frequency_score"": 1.0, ""llm_match_score"": 60.0}",
147dc693635f41a38fbed9e582b83ee5,True,Recent (Last ep: 7 days ago). | Frequent (Avg: 7.6 days),2025-04-29T23:00:00,7,7.614678899082569,60.0,"The podcast focuses on growing a business through content creation and monetization, which has some overlap with the guest's expertise in AI implementation and customer-centricity. While not a perfect fit, the guest's insights on leveraging AI for business growth could be relevant to the podcast's audience of business owners and podcasters. The podcast's general business focus makes it a moderately suitable platform for the guest's talking points on AI strategy and implementation, but a more AI-focused podcast would be ideal.",76.0,B,"Overall Tier: B (Score: 76/100). | Programmatic Consistency: Passed - Recent (Last ep: 7 days ago). | Frequent (Avg: 7.6 days) | LLM Content Match: Score 60/100 - The podcast focuses on growing a business through content creation and monetization, which has some overlap with the guest's expertise in AI implementation and customer-centricity. While not a perfect fit, the guest's insights on leveraging AI for business growth could be relevant to the podcast's audience of business owners and podcasters. The podcast's general business focus makes it a moderately suitable platform for the guest's talking points on AI strategy and implementation, but a more AI-focused podcast would be ideal.","{""recency_score"": 1.0, ""frequency_score"": 1.0, ""llm_match_score"": 60.0}",
pd_lz3od9wy8br5vxa8,True,Recent (Last ep: 5 days ago). | Frequent (Avg: 7.1 days),2025-05-02T00:00:00,5,7.145708582834331,5.0,"The podcast focuses on entrepreneurs selling their businesses, which has no alignment with the guest's AI expertise or the ideal podcast description. The audience is likely interested in business sales, not AI implementation in large enterprises, making it a poor fit for the guest's talking points and target audience. There is no thematic relevance between the podcast's content and the guest's area of expertise, so the match score is very low",43.0,D,"Overall Tier: D (Score: 43/100). | Programmatic Consistency: Passed - Recent (Last ep: 5 days ago). | Frequent (Avg: 7.1 days) | LLM Content Match: Score 5/100 - The podcast focuses on entrepreneurs selling their businesses, which has no alignment with the guest's AI expertise or the ideal podcast description. The audience is likely interested in business sales, not AI implementation in large enterprises, making it a poor fit for the guest's talking points and target audience. There is no thematic relevance between the podcast's content and the guest's area of expertise, so the match score is very low","{""recency_score"": 1.0, ""frequency_score"": 1.0, ""llm_match_score"": 5.0}",
pd_k42yajryg3n5p8ow,True,Recent (Last ep: 6 days ago). | Frequent (Avg: 7.8 days),2025-05-01T15:30:03,6,7.806451612903226,20.0,"The podcast focuses on biographies of entrepreneurs and extracting business lessons from history, which doesn't align well with the guest's AI expertise and focus on enterprise AI solutions. The podcast's audience is likely interested in historical business strategies rather than current AI trends and implementation challenges in large organizations, making it a poor fit for the guest's talking points and ideal podcast description. ",52.0,C,"Overall Tier: C (Score: 52/100). | Programmatic Consistency: Passed - Recent (Last ep: 6 days ago). | Frequent (Avg: 7.8 days) | LLM Content Match: Score 20/100 - The podcast focuses on biographies of entrepreneurs and extracting business lessons from history, which doesn't align well with the guest's AI expertise and focus on enterprise AI solutions. The podcast's audience is likely interested in historical business strategies rather than current AI trends and implementation challenges in large organizations, making it a poor fit for the guest's talking points and ideal podcast description. ","{""recency_score"": 1.0, ""frequency_score"": 1.0, ""llm_match_score"": 20.0}",
